,TP,TN,FP,FN,ACC,TPR,FPR
402,2703,3397,3451,2663,0.49942688717864747,0.5037271710771525,0.5039427570093458
403,2818,3379,3274,2743,0.5073685934173899,0.5067433914763532,0.492108823087329
404,2783,3435,3424,2572,0.5090879318814475,0.5197012138188609,0.499198133838752
405,2757,3382,3367,2708,0.5026199443261831,0.5044830741079598,0.4988887242554452
406,2748,3344,3393,2729,0.4987719010971017,0.5017345262004748,0.503636633516402
407,2722,3366,3481,2645,0.4984444080563288,0.5071734674864915,0.5083978384694027
408,2723,3470,3362,2659,0.507041100376617,0.5059457450761798,0.492096018735363
409,2731,3398,3343,2742,0.5018012117242509,0.49899506669102867,0.4959204865746922
410,2712,3398,3335,2769,0.5002456197805797,0.49480021893814996,0.4953215505718105
411,2749,3276,3403,2786,0.49328639266415586,0.4966576332429991,0.5095074112891151
412,2640,3352,3422,2800,0.4905845750777796,0.4852941176470588,0.505166814289932
413,2775,3337,3374,2728,0.5004093663009661,0.5042703979647465,0.5027566681567576
414,2787,3369,3343,2715,0.5040117897494678,0.5065430752453653,0.4980631704410012
415,2720,3410,3397,2687,0.5018830849844441,0.5030515997780655,0.49904510063170265
416,2707,3414,3306,2787,0.5011462256427051,0.49271933017837644,0.4919642857142857
417,2636,3423,3407,2748,0.4960700835107254,0.48959881129271915,0.49882869692532944
418,2738,3324,3431,2721,0.49631570329130503,0.5015570617329181,0.507920059215396
419,2728,3386,3336,2764,0.5005731128213525,0.4967225054624909,0.49628086878905087
420,2681,3349,3427,2757,0.49369575896512197,0.4930121368150055,0.5057556080283353
421,2652,3397,3452,2713,0.4952513509087932,0.49431500465983225,0.5040151846984962
422,2725,3454,3349,2686,0.5058948747339119,0.5036037700979487,0.4922828164045274
423,2708,3398,3342,2766,0.4999181267398068,0.49470222871757397,0.49584569732937683
424,2742,3340,3409,2723,0.49795316849516946,0.5017383348581884,0.5051118684249518
425,2743,3357,3455,2659,0.49942688717864747,0.5077748981858571,0.5071931884908985
426,2716,3346,3487,2665,0.49631570329130503,0.5047388961159636,0.5103175764671447
427,2750,3389,3387,2688,0.5026199443261831,0.5057006252298639,0.49985242030696575
428,2710,3386,3349,2769,0.4990993941378746,0.49461580580397885,0.49725315515961394
429,2711,3424,3365,2714,0.5022924512854102,0.49972350230414747,0.49565473560170864
430,2749,3335,3399,2731,0.49811691501555594,0.5016423357664234,0.5047520047520048
431,2778,3397,3358,2681,0.505567381693139,0.5088844110642975,0.4971132494448557
